NAMA,PEMINAT 2017,PEMINAT 2018
BIOLOGI,868,965
FARMASI,2667,2917
GEOGRAFI LINGKUNGAN,850,834
KARTOGRAFI DAN PENGINDERAAN JAUH,600,637
PEMBANGUNAN WILAYAH,469,523
KEDOKTERAN,2999,3777
ILMU KEPERAWATAN,1003,1129
GIZI KESEHATAN,1567,1684
KEDOKTERAN GIGI,2010,2040
KEDOKTERAN HEWAN,1050,1176
FISIKA,245,362
KIMIA,657,716
MATEMATIKA,666,663
ILMU KOMPUTER,1500,1664
STATISTIKA,825,875
GEOFISIKA,379,424
ELEKTRONIKA DAN INSTRUMENTAS,446,546
AGRONOMI,490,559
ILMU TANAH,334,419
EKONOMI PERTANIAN DAN AGRIBISNIS,753,807
PROTEKSI TANAMAN (ILMU HAMA DAN PENYAKIT TUMBUHAN),310,366
PENYULUHAN DAN KOMUNIKASI PERTANIAN,206,238
AKUAKULTUR (BUDIDAYA PERIKANAN),300,361
TEKNOLOGI HASIL PERIKANAN,310,358
MANAJEMEN SUMBERDAYA AKUATIK (MANAJEMEN SUMBER DAYA PERIKANAN),420,408
MIKROBIOLOGI PERTANIAN,198,269
ILMU DAN INDUSTRI PETERNAKAN,1100,1121
ARSITEKTUR,1653,1790
PERENCANAAN WILAYAH DAN KOTA,1293,1329
TEKNIK GEODESI,800,811
TEKNIK GEOLOGI,987,1020
TEKNIK KIMIA,945,1089
TEKNIK ELEKTRO,1100,1278
TEKNIK MESIN,1757,1855
TEKNIK SIPIL,2409,2565
TEKNIK NUKLIR,576,609
TEKNIK FISIKA,537,622
TEKNIK INDUSTRI,1479,1546
TEKNIK PERTANIAN,619,640
TEKNOLOGI PANGAN DAN HASIL PERTANIAN,1276,1383
TEKNOLOGI INDUSTRI PERTANIAN,648,658
HIGIENE GIGI,368,416
KEHUTANAN,2085,2107
TEKNOLOGI INFORMASI,2044,2144
